title	roi	Aaron Paul	Aaron Taylor-Johnson	Adam Brody	Adam Sandler	Adria Arjona	Adrien Brody	Aidan Gillen	Al Pacino	Alan Ritchson	Alec Baldwin	Alexander Ludwig	Alexander Skarsgård	Alexandra Daddario	Ali Larter	Alison Brie	Allison Janney	Amanda Seyfried	Amber Heard	Amy Adams	Ana de Armas	Andie MacDowell	Andrew Garfield	Andy García	Andy Samberg	Andy Serkis	Angela Bassett	Angelina Jolie	Anna Kendrick	Annabelle Wallis	Anne Hathaway	Anthony Hopkins	Anthony Mackie	Anthony Ramos	Antonio Banderas	Anya Taylor-Joy	Ariana Greenblatt	Arnold Schwarzenegger	Asa Butterfield	Ashley Johnson	Aubrey Plaza	Austin Butler	Ben Affleck	Ben Hardy	Ben Kingsley	Ben Stiller	Benedict Cumberbatch	Benedict Wong	Benicio del Toro	Bill Nighy	Bill Pullman	Bill Skarsgård	Blake Lively	Bob Odenkirk	Brad Pitt	Bradley Cooper	Brendan Gleeson	Brittany Snow	Bruce Greenwood	Bruce Willis	Bryan Cranston	Bryce Dallas Howard	Callum Turner	Carla Gugino	Carrie Coon	Cate Blanchett	Catherine Corcoran	Channing Tatum	Charles Dance	Charlie Hunnam	Charlize Theron	Charlotte Rampling	Chloë Grace Moretz	Chris Evans	Chris Hemsworth	Chris Pine	Chris Pratt	Christian Bale	Christian Slater	Christina Ricci	Christoph Waltz	Christopher Plummer	Christopher Walken	Ciarán Hinds	Cillian Murphy	Clancy Brown	Clive Owen	Clémence Poésy	Cobie Smulders	Colin Farrell	Colin Firth	Connie Nielsen	Craig Stark	Cristin Milioti	Dafne Keen	Dakota Fanning	Dakota Johnson	Dan Stevens	Daniel Craig	Daniel Mays	Daniel Radcliffe	Danny DeVito	Danny Huston	Dar Salim	Dave Bautista	Dave Franco	David Corenswet	David Dastmalchian	David Thewlis	Demi Moore	Dennis Quaid	Denzel Washington	Dermot Mulroney	Desmond Harrington	Diane Lane	Dichen Lachman	Diego Luna	Dolph Lundgren	Domhnall Gleeson	Don Lee	Donald Sutherland	Donnie Yen	Dwayne Johnson	Ed Harris	Eddie Redmayne	Edi Gathegi	Edward Norton	Eiza González	Elena Anaya	Elijah Wood	Elizabeth Banks	Elizabeth McGovern	Elizabeth Olsen	Ella Purnell	Elle Fanning	Emile Hirsch	Emilia Clarke	Emily Blunt	Emily Child	Emma Roberts	Emma Stone	Emma Thompson	Emma Watson	Eric Bana	Eric Dane	Eric Kofi Abrefa	Eric Roberts	Essie Davis	Ethan Hawke	Eva Green	Evan Peters	Evangeline Lilly	Ewan McGregor	Famke Janssen	Felicity Jones	Florence Pugh	Frances de la Tour	Frank Grillo	Frank Welker	Freddie Stroma	Gal Gadot	Gary Oldman	Gemma Arterton	Geoffrey Rush	Gerard Butler	Giovanni Ribisi	Glen Powell	Golshifteh Farahani	Gustaf Skarsgård	Guy Pearce	Gwendoline Christie	Gwyneth Paltrow	Hailee Steinfeld	Haley Bennett	Halle Berry	Hannah John-Kamen	Harris Dickinson	Harrison Ford	Hayden Christensen	Hayley Atwell	Helen Mirren	Helena Bonham Carter	Henry Cavill	Henry Lloyd-Hughes	Holt McCallany	Hugh Jackman	Ian McKellen	Ian McShane	Idris Elba	Imogen Poots	Isabela Merced	J.K. Simmons	Jack Black	Jack Quaid	Jackie Chan	Jackie Sandler	Jacob Tremblay	Jaimie Alexander	Jake Gyllenhaal	James Cosmo	James Franco	James Marsden	James McAvoy	James Remar	Jamie Lee Curtis	Jared Harris	Jason Bateman	Jason Isaacs	Jason Momoa	Jason Statham	Javier Bardem	Jeff Bridges	Jeff Goldblum	Jeffrey Dean Morgan	Jena Malone	Jenna Coleman	Jenna Ortega	Jennifer Connelly	Jennifer Coolidge	Jennifer Ehle	Jennifer Holland	Jennifer Jason Leigh	Jennifer Lawrence	Jennifer Morrison	Jeremy Irons	Jeremy Piven	Jeremy Renner	Jesse Plemons	Jessica Alba	Jessica Chastain	Jet Li	Jim Carrey	Jodie Foster	Joel Kinnaman	Joey King	John Cena	John Goodman	John Hurt	John Krasinski	John Lithgow	Johnny Depp	Jon Bernthal	Jon Favreau	Jon Hamm	Jon Voight	Jonathan Pryce	Joseph Gordon-Levitt	Joseph Quinn	Josh Brolin	Josh Hartnett	Josh Hutcherson	Jude Hill	Jude Law	Judy Greer	Julia Butters	Julianne Moore	Juno Temple	Karen Gillan	Karl Urban	Kat Dennings	Kate Beckinsale	Kate Mara	Kate Winslet	Katheryn Winnick	Kathryn Newton	Katy O'Brian	Kaya Scodelario	Keanu Reeves	Keira Knightley	Kelly Macdonald	Kelly Reilly	Ken Watanabe	Kenneth Branagh	Kerry Condon	Kevin Costner	Kevin Durand	Kevin Hart	Kevin James	Kiernan Shipka	Kristen Stewart	Kurt Russell	Lashana Lynch	Laurence Fishburne	Lee Byung-hun	Lee Nicholas Harris	Lee Pace	Leon Cooke	Leonardo DiCaprio	Liam Neeson	Liev Schreiber	Lily James	Linda Cardellini	Liv Tyler	Logan Lerman	Lucas Till	Lucy Liu	Luis Guzmán	Madison Wolfe	Mads Mikkelsen	Maggie Q	Mahershala Ali	Malin Åkerman	Margaret Qualley	Margot Robbie	Maria Bello	Marion Cotillard	Marisa Tomei	Mark Hamill	Mark Ruffalo	Mark Strong	Mark Wahlberg	Marlon Wayans	Martin Bishop	Martin Freeman	Martin Lawrence	Marton Csokas	Mary Elizabeth Winstead	Matt Damon	Matthew Goode	Matthew McConaughey	Mckenna Grace	Megan Fox	Mia Goth	Michael B. Jordan	Michael Caine	Michael Douglas	Michael Fassbender	Michael Keaton	Michael Peña	Michael Rooker	Michelle Monaghan	Michelle Pfeiffer	Michelle Yeoh	Mickey Rourke	Mikey Madison	Mila Kunis	Millie Bobby Brown	Monica Bellucci	Morena Baccarin	Morgan Freeman	MyAnna Buring	Naomi Ackie	Naomi Watts	Natalie Dormer	Natalie Portman	Nathalie Emmanuel	Nathan Fillion	Neal McDonough	Nicholas Hoult	Nicolas Cage	Nicole Kidman	Nigel Allen	Nikolaj Coster-Waldau	Nina Dobrev	Noomi Rapace	Olga Kurylenko	Olivia Colman	Orlando Bloom	Oscar Isaac	Owen Wilson	Pablo Schreiber	Patrick Wilson	Paul Bettany	Paul Dano	Paul Giamatti	Paul Rudd	Pedro Pascal	Pete Davidson	Peter Dinklage	Peter Stormare	Philip Seymour Hoffman	Pierce Brosnan	Pom Klementieff	Rachel Bilson	Rachel McAdams	Rachel Weisz	Ralph Fiennes	Ralph Ineson	Rami Malek	Ray Stevenson	Rebecca Ferguson	Richard E. Grant	Richard Harmon	Richard Harris	Robert De Niro	Robert Downey Jr.	Robert Knepper	Robert Pattinson	Robin Williams	Robin Wright	Ron Perlman	Rosamund Pike	Rose Byrne	Rosemary Howard	Rupert Friend	Russell Crowe	Ryan Gosling	Ryan Reynolds	Sam Claflin	Sam Neill	Sam Rockwell	Sam Worthington	Samara Weaving	Samuel L. Jackson	Sandra Bullock	Saoirse Ronan	Sarah Paulson	Scarlett Johansson	Scott Adkins	Sean Bean	Sebastian Stan	Seth MacFarlane	Shailene Woodley	Shea Whigham	Shia LaBeouf	Shuya Sophia Cai	Sigourney Weaver	Simon Baker	Simon Pegg	Skyler Gisondo	Sofia Boutella	Stanley Tucci	Stellan Skarsgård	Stephen Lang	Steve Buscemi	Steve Carell	Sunny Sandler	Sydney Sweeney	Sylvester Stallone	Taissa Farmiga	Taylor Kitsch	Ted Levine	Terence Stamp	Theo James	Thomas Brodie-Sangster	Tilda Swinton	Tim Roth	Timothy Olyphant	Timothée Chalamet	Titus Welliver	Tobey Maguire	Tom Cruise	Tom Hanks	Tom Hardy	Tom Hiddleston	Tom Holland	Tom Hopper	Tommy Lee Jones	Tony Jaa	Topher Grace	Truman Hanks	Uma Thurman	Vanessa Kirby	Vera Farmiga	Viggo Mortensen	Vin Diesel	Vincent Cassel	Vincent D'Onofrio	Ving Rhames	Wagner Moura	Walton Goggins	Will Patton	Will Poulter	Will Smith	Willem Dafoe	William Fichtner	Winona Ryder	Winston Ellis	Woody Harrelson	Yvonne Strahovski	Zac Efron	Zach Galifianakis	Zazie Beetz	Zendaya	Zhang Ziyi	Zoe Saldaña
John Wick: Chapter 4	4.40157245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Transformers: Rise of the Beasts	2.2634932974358972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oppenheimer	9.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barbie	9.969920144827586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meg 2: The Trench	2.977182031007752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquaman and the Lost Kingdom	2.1472254926829266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guardians of the Galaxy Vol. 3	3.3822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
The Little Mermaid	1.917933632996633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Equalizer 3	2.7295365714285715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creation of the Gods I: Kingdom of Storms	4.342138552941177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
